Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_Every","Arduino_Nano",258.500000,-102.380000,0.000000,top
"D1","D_Capacitance","C_Disc_D7.5mm_W5.0mm_P7.50mm",227.500000,-135.500000,180.000000,top
"J1","CON-SMA-EDGE-S","RFSOLUTIONS_CON-SMA-EDGE-S",152.472500,-137.000000,0.000000,top
"J2","MKDS_3__4-5_08","PHOENIX_MKDS_3_4-5_08",244.000000,-108.960000,90.000000,top
"J3","CON-SMA-EDGE-S","RFSOLUTIONS_CON-SMA-EDGE-S",152.472500,-116.000000,0.000000,top
"J6","1888687","PHOENIX_1888687",171.750000,-120.765000,90.000000,top
"J7","1888687","PHOENIX_1888687",162.250000,-134.307500,-90.000000,top
"J8","1888687","PHOENIX_1888687",249.250000,-135.620000,90.000000,top
"Q2","IRFZ44N","TO254P1016X419X2286-3",187.460000,-125.000000,0.000000,top
"R1","1000","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",182.420000,-135.500000,0.000000,top
"R2","10000","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",201.920000,-135.500000,0.000000,top
"R3","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",212.080000,-123.500000,180.000000,top
"R4","2.7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",249.580000,-140.000000,180.000000,top
"R5","82","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",212.080000,-142.000000,180.000000,top
"R6","1.8","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",239.420000,-146.500000,0.000000,top
"R7","39","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",218.920000,-146.500000,0.000000,top
"U1","TL431LP","TO-92_Inline",186.000000,-143.270000,90.000000,top
"U3","OP07CP","DIP794W45P254L959H508Q8",223.810000,-122.530000,90.000000,top
